POSIZIONE;DESCRIZIONE;PESO IN KG
E4;"INC. F.530 PRALINE ASS. ""DESPAR""";268,8
E5;"INC. F.530 PRALINE ASS. ""DESPAR""";275,1
E6;INC. F.415 PRALINE ASS. INSIFA;256,44
F1;INC. ALLUMINIO F.50 OVETTI MILAN;58,76
F1;INC. ALLUMINIO F.50 OVETTI JUVE;14,85
F1;INC. ALLUMINIO F.50 OVETTI INTER;17
F2;INC. ALLUM. F.50 OVETTI ATALANTA;62,71+6,29
F2;INC. ALLUM. F.50 OVETTI GENOA;50,17
F2;INC. ALLUM. F.50 OVETTI LAZIO;1,45
F3;INC. F.345 OVETTI SAMPDORIA;57,7+1,65
F3;INC. F.345 OVETTI FIORENTINA;39,1
F3;INC. F.345 OVETTI GENOA;50,9+7,35
F4;INC. F.415 SPESOTTI COOP;325,86
F6;INC. F.345 BUSTA OVETTI COOP NUOVO;165,4+13,4
F10;SCATOLA CREMOSI CAVALIERE;2800
F11;SCATOLA CREMOSI CARAMELLO/TORRONE./NOCCIOLA MONTEVERGINE;2298
F12;SCATOLA PRALINE G.188 FOND./NOCC./CEREALI DIGENN./MONTEVERGINE;595
F13;SCATOLA PRALINE G.188 PIST./LIM./BABA' MONTEV.;1985
G1;INC. PRALINA PACCONE PETTWIST F.110;747,67
G2;INC. PRALINA PACCONE PETTWIST F.110;749,67
G3;INC. PRALINA PACCONE PETTWIST F.110;374,91
G4;INC. F. 345 COOP OVETTI VECCHIO (CON FINESTRA);306,16
G5;INC. F. 345 SPERLARI OVETTI GALATINE BIANCO;33,5
G5;INC. F. 345 SPERLARI OVETTI GALATINE FONDENTE;238,9
G6;INC. OVETTI 48MM GALATINE SPERLARI FONDENTE;134,27
G6;INC. OVETTI 48MM GALATINE SPERLARI BIANCO;74,18
G10;SCATOLA OVETTI NOCCIOLA LINEA 1903 GLICINE;2387
G10;SCATOLA OVETTI FOND. LINEA 1903 ARANCIO;1524
G11;SCATOLA OVETTI PISTACCHIO LINEA 1903 VERDE;1448
G11;CAVALLOTTA OVETTI G.300 CAVALIERE;15732
G12;CAVALLOTTA OVETTI G.450 SIDI PICCOLO;2552
G12;CAVALLOTTA PRALINA G.350 SIDI PICCOLO;3752
G12;SCATOLA PRALINA FOND. G.130 TESORI DELL'ARCA;352
G12;SCATOLA PRALINA ASS. G.180 TESORI DELL'ARCA;267
G12;SCATOLA PRALINA ASS. G.130 TESORI DELL'ARCA;550
G13;FASCETTA BON BONS LATTE (ROSSA) ALESSIA;3040
G13;FASCETTA BON BONS NOCCIOLA FONDENTE (NERA) ALESSIA;1420
G13;FASCETTA BON BONS CEREALI (BLU) ALESSIA;412
G13;FASCETTA BON BONS PISTACCHIO (VERDE) ALESSIA;1775
G13;CAVALLOTTA BON BONS ASSORTITI G.200 ALESSIA;884
G14;SCATOLA PRALINA DUCHEY'S G.250;864
G15;CAVALLOTTO TORRONATO SALLOUM PASQUA EBRAICA;3477
G16;CAVALLOTTO NOCCIOLATO SALLOUM PASQUA EBRAICA;3308
G16;CAVALLOTTO CREMOSO NOCCIOLA G.130;8600
G17;SCATOLA PRALINA ASSORTITE G.200 ALESSIA;2130
G18;CAVALLOTTO OVETTI ALESSIA G.300;713
H6;INC. F.110 CHANTAL VERDE;172,22
H2;INC. F.110 CHANTAL FUXIA CHIARO;345,16
H3;INC. F.110 CHANTAL ROSSO;593,58
H4;INC. F.110 CHANTAL BLU;229,26
H5;INC. F.110 CHANTAL FUXIA SCURO;233,7
H1;INC. OVETTI ICAM 50 MM ORO;7,79
H1;INC. OVETTI ICAM 50 MM ROSSO;26
H1;INC. OVETTI ICAM 50 MM BIANCO;71,55
H1;INC. OVETTI ICAM 50 MM VERDE;91,83
H1;INC. OVETTI ICAM 50 MMNERO;
H7;INC. F.110 DONINI CREMA NOCCIOLA;110,22
H8;INC. F.110 DONINI TRASPARENTE;292,62+3,06
H9;INC. F.110 DONINI FOND./FOND.;291,02+2,38
H10;INC. F.110 DONINI TRASP. CREMA NOCC.;246,9
H11;INC. F.110 DONINI LATTE/LATTE;434,18
H12;INC. F.110 CRISTIAN DOLCI LATTE/CEREALI;87,54
H12;INC. F.110 CRISTIAN DOLCI FOND./NOCC.;98,24
H12;INC. F.110 CRISTIAN DOLCI PISTACCHIO;10,74
H12;INC. F.110 CRISTIAN DOLCI LIMONE;8,56
H12;INC. F.110 CRISTIAN DOLCI BABÀ;21,92
H13;INC. F.110 TRASP. IL GALEONE;132,66
H14;INC. F.110 TRASP. POIS ROSA RUBY;322,36
H15;INC. F.110 SESTO SENSO MUZZI;167,4 + 401,36
H15;INC. F.110 SESTO SENSO CON BACIO;23,04
H16;INC. F.110 CIOCCOLOTTO LATTE NOCC. GIANDUIA (ORO);66,28
H16;INC. F.110 CIOCCOLOTTO NOCC. FOND. (NERO);42,26
H17;INC. F.110 CIOCCOLOTTO NEURO FONDENTE;79,16
H17;INC. F.110 CIOCCOLOTTO LATTE NEURO;69,48
H18;INC. F.110 COLOSSEO CELESTE;28,1
H18;INC. F.110 COLOSSEO ARANCIO;22,72
H18;INC. DI IORIO PRAL. BIANC./CEREALI F.110;3,86
H18;INC. DI LORIO PRAL. LATTE/ARANCE F.110;4,06
H18;INC. DI LORIO PRAL. BIANCO/PIST. F.110;4,04
